POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
2665,BIRTHDAY STICKERS,,Creative Teaching Press,CTP4593,3.5
2666,SIGHT WORD BOOK LEVEL 1,,Creative Teaching Press,CTP2272,22.99
2667,ALPHABET NAMEPLATE,,Teacher Created Resources,TCR4019,5.99
2668,BUSY BEE BABY BUZZ'R,,Small World Toys Enterprises LLC,5222009,22.99
2669,KALEIDOSCOPE DESIGNS,,Dover Publications,0486465500,9.99
2670,GREAT WHALES STAINED GLASS,,Dover Publications,0486450228,9.99
2671,ART DECO DESIGNS COL. BK,,Dover Publications,048644142,9.99
2672,CONSTELLATIONS OF THE NIGHT SK,,Dover Publications,0486426483,6.99
2673,FRESHWATER POND COL. BK,,Dover Publications,0486410358,6.99
2674,DECORATIVE TILE DESIGNS COL. B,,Dover Publications,048645195X,5.99
2675,NATURE KALEIDOSCOPE COL. BK,,Dover Publications,0486451739,5.99
2676,CELTIC DESIGN COL. BK,,Dover Publications,0486237966,6.99
2677,DINOSAURS COL. BK,,Dover Publications,0486447014,5.99
2678,SHINY TOY TRAINS STICKERS,,Dover Publications,0486438473,2
2679,BEACH ACTIV STICKER BK,,Dover Publications,0486297314,2.75
2680,LITTLE MERMAID STCKR ACTIVITY,,Dover Publications,0486412709,2
2681,EASY OLD MCDONALD'S FARM,,Dover Publications,0486438406,2
2682,EASY SEASHORE STICKER BK,,Dover Publications,0486444465,2
2683,CONSTRUCTION SITE STICKER PUZ,,Dover Publications,0486441563,2
2684,FAIRYLAND STICKER PUZ BK,,Dover Publications,048643849X,2
2685,EASY KALEIDOSCOPE SG COL BK,,Dover Publications,0486441822,2.75
2686,FIND & COLOUR ACTIV BK,,Dover Publications,048645679X,6.99
2687,SAME & DIFFERENT ACTIV BK,,Dover Publications,0486461076,5.99
2688,FUN WITH HIDDEN PIC COL & PUZ,,Dover Publications,0486288269,4
2689,HIDDEN PICTURES COL & PUZ,,Dover Publications,0486450910,5.99
2690,KNOCK KNOCK JOKES,,Dover Publications,0486404021,3.99
2691,VIKING DESIGN,,Dover Publications,0486404692,12.99
2692,AWFUL EGYPTIANS,,Scholastic,0545989647,6.99
2693,EASY ORIGAMI FOLLOW DIRECTIONS,,Scholastic,0545110815,14.99
2694,PENGUINS PHOTO CHART disc,,Scholastic,0545118948,3.5
2695,BUTTERFLY PHOTO CHART,,Scholastic,0545118999,3.99
2696,CLOUDS PHOTO CHARTdisc,,Scholastic,0545118913,3.99
2697,AMAZING WORD POWER GR 3,,Scholastic,0545087066,7.99
2698,AMAZING WORD POWER GR 4,,Scholastic,0545087074,7.99
2699,AMAZING WORD POWER GR 5,,Scholastic,0545087082,7.99
2700,6+1 TRAITS OF WRITING GR 3+,,Scholastic,0439280389,33.99
2701,GR 3 LVLD READERS THEATRE,,Evan-Moor Educational Publishers,EMC3483,27.99
2702,GR 4 LVLD READERS THEATRE,,Evan-Moor Educational Publishers,EMC3484,27.99
2703,WHAT'S DIFFERENT?,,Dover Publications,0486523344,2.75
2704,EARTH AND SPACE SCIENCE GR K-2,,Carson Dellosa Publishing,CD104294,14.99
2705,PLANT POWER,,Rainbow Horizons Publishers,Z-82,16
2706,PLANTS disc,,Rainbow Horizons Publishers,A-70,16
2707,TROPICAL RAINFOREST,,Rainbow Horizons Publishers,Z-26,16
2708,COLOURS,,Rainbow Horizons Publishers,Z-3,16
2709,SPACE SPACE SPACE,,Rainbow Horizons Publishers,Z-40,16
2710,EARTH disc,,Rainbow Horizons Publishers,Z-32,16
2711,BEARS,,Rainbow Horizons Publishers,Z-6,12
2712,WHALES,,Rainbow Horizons Publishers,Z-43,16
2713,AWESOME ANIMALS OF CANADA,,Rainbow Horizons Publishers,Z-41,16
2714,ANIMAL LIFE CYCLES GR 2-3,,Rainbow Horizons Publishers,JSLA21,16
2715,FEELINGS,,Rainbow Horizons Publishers,JSLA3,16
2716,BUGS OF SUMMER disc,,Rainbow Horizons Publishers,JSLA11,16
2717,SIMPLE MACHINES GR 1-3 disc,,S&S WORLDWIDE,SSB1-100,16.99
2718,STABLE STRUCTURES & MECH disc,,S&S WORLDWIDE,SSB1-112,16.99
2719,UNO CARD GAME,,Everest Toys,MATL42003,12.99
2720,TEDDY TEETHER AMBI DISC,,PLAYWELL,531005,7.99
2721,PICK-UP STICKS,,PLAYWELL,CH801,4.99
2722,COMPLETE CLEANING SET,,PLAYWELL,22748,32.99
2723,FLOWER PRESS ART disc,,PLAYWELL,P4567,12.99
2724,ROLL 'N MULTIPLY,,"EMINES, INC.",6010,29.99
2725,FAIRY MOBILE,,PLAYWELL,P2751,14.99
2726,IMAGINATION MOSAIC,,PLAYWELL,P4565,17.99
2727,READY TO READ GR 1-2disc,,Global Decor - BSI,A8634JCH,29.99
2728,WORD FACTORY GR 1-2disc,,Global Decor - BSI,A9105JCH,28.99
2729,FUN TOYS SET disc,,PLAYWELL,X9711,21.99
2730,DINING ROOM NEO,,PLAYWELL,X73061,24.99
2731,LIVING ROOM NEO,,PLAYWELL,X73071,24.99
2732,BATHROOM NEO,,PLAYWELL,X73081,27.99
2733,BEDROOM NEO,,PLAYWELL,X73091,27.99
2734,KITCHEN NEO,,PLAYWELL,X73101,24.99
2735,NURSERY,,PLAYWELL,X73291,29.99
2736,"UKULELE 20"" WOODSTOCK disc",,PLAYWELL,532006,32.99
2737,BLUES BAND HARMONICA,,PLAYWELL,532008,8.99
2738,CHIMALONG WOODSTOCK disc,,PLAYWELL,532001,59.99
2739,MY 1ST AMAZ SCI EXP GR 1-4disc,,Global Decor - BSI,A0034JCH,29.99
2740,TICKET TO RIDE,,Lion Rampant Imports,DOW7201,75.99
2741,GREEN/BLUE PLASMACAR UA,,PlaSmart Inc.,PC080,69.99
2742,CITRINE MINI SPACE AGE CRYSTAL,,Kristal Educational Inc.,681,10.99
2743,CITRINE CRYSTAL CAVES,,Kristal Educational Inc.,652,19.99
2744,AQUAMARINE CRYSTAL CAVES,,Kristal Educational Inc.,654,19.99
2745,AMETHYST INCUBATOR disc,,Kristal Educational Inc.,365,19.99
2746,QUARTZ MINI CRYSTAL KIT,,Kristal Educational Inc.,644,9.99
2747,RUBY MINI CRYSTAL KIT,,Kristal Educational Inc.,646,9.99
2748,DECIMALS 1 DRILLS & PRACTICE,,REMEDIA PUBLICATIONS,1141A,9.99
2749,DECIMALS 2 DRILL & PRACTICE,,REMEDIA PUBLICATIONS,1141B,9.99
2750,BEGINNING +/-/x MENU MATH,,REMEDIA PUBLICATIONS,601A,15.99
2751,ADD/SUB MENU MATH,,REMEDIA PUBLICATIONS,601B,15.99
2752,JUGGLING SCARVES W/ INSTRUCT.,,Higgins Brothers,1502,7.99
2753,disc MY TOOL CASE BATTAT,,Borgfeldt Limited,255BB3420,24.99
2754,PEARL MAGNET MAN disc,037063002023,Adams,3303533848,1.99
2755,TURTLE MAGNETS disc,037063002955,Adams,1314533848,1.99
2756,LEAF MAGNETS disc,037063002214,Adams,1801553848,2.5
2757,PINK RIBBON MAGNETS disc,037063002245,Adams,4910673848,1.99
2758,GARDEN MONEY BANK,,Mudpuppy Press - Galison,9780735324312,13.99
2759,OPPOSITES RING FLASHCARDS disc,,Mudpuppy Press - Galison,9780735323407,13.99
2760,COASTAL SEA LIFE MINI BBSET,,Trend Enterprises,T8603,9.99
2761,WHY LEAVES CHANGE COL BBS disc,,Trend Enterprises,T8602,7.99
2762,SOLAR SYSTEM TRIMMER,,Trend Enterprises,T92007,3.99
2763,HOMEWORK :DON'T LEAVE...ARG PO,,Trend Enterprises,TA67320,3.99
2764,BUSY BUGS STICKERS,,Trend Enterprises,T46186,2.99
2765,FUN FEST STICKY STICKERS,,Trend Enterprises,T83906,9.99
2766,CELEBRATE AWARDS disc,,Trend Enterprises,T81405,3.99
2767,WELCOME AWARD,,Trend Enterprises,T81022,4.99
2768,GOOD JOB AWARD,,Trend Enterprises,T81032,3.99
2769,YOU DID IT AWARD,,Trend Enterprises,T81034,4.99
2770,GET READY TO PRINT,,Trend Enterprises,T94119,7.99
2771,WIPE OFF I CAN PRINT,,Trend Enterprises,T94123,7.99
2772,WIPE OFF I CAN PRINT,,Trend Enterprises,T94120,5.99
2773,TRAD. NAMEPLATE PREK-K,,Trend Enterprises,T69401,9.99
2774,TRAD. NAMEPLATE GR 2-3,,Trend Enterprises,T69402,9.99
2775,GR 3-5 TRAD NAMEPLATE,,Trend Enterprises,T69403,9.99
2776,HALLOWE'EN COOKIE MAGNET disc,661371232935,GANZ,EH5841,5.99
2777,NATURE POCKET TOKEN disc,661371239972,GANZ,EL2626,3.99
2778,CHILD'S FIRST STENCIL SET,,"Roylco, Inc.",R5522,22.99
2779,DINOSAUR RUBBING PLATES,,"Roylco, Inc.",R5823,12.99
2780,ANIMAL TRACKS RUBBING PLATES,,"Roylco, Inc.",R5837,12.99
2781,MINI DELTA,,KSM Ltd.,R137,5.99
2782,CLASSIC ENGINE DISC,,K'NEX Brands,33610,9.99
2783,METAL PENCIL SHARPENER,809263401165,MUSGRAVE PENCIL CO,DJSHRP,1.99
2784,BIG ONES WASHABLE CRAYONS,,SARGENT ART,350542,3.99
2785,VERY CRANKY BEAR,,Scholastic,0545986168,14.99
2786,PULL ALONG PENGUIN WADDLE disc,,Hape International Inc.,ED885421,34.99
2787,FANCY NANCY CAMEO 20 PZ disc,,Pierre Belvedere,612032,21.5
2788,SEAFARERS OF CATAN 5-6 EXP,,Lion Rampant Imports,MAY3064,24.99
2789,GREEN RODY,,Pierre Belvedere,070049,65.99
2790,GIFFY GIRAFFE,,Pierre Belvedere,080062,67.99
2791,RUN RUN AS FAST AS YOU CAN,,Pierre Belvedere,101198,29.99
2792,RESCUE SQUAD FIRST PZ,,Pierre Belvedere,301116,17.99
2793,DISC DOLL HOUSE 25 PC PZ,,Pierre Belvedere,301239,19.99
2794,DOVE PRINCESS PBN disc,,Pierre Belvedere,286324,27.99
2795,ENCHANTED FOREST 100 PC PZ,,Pierre Belvedere,107933,14.99
2796,PRINCESS W/ HORSE 200 PC PZ,,Pierre Belvedere,126132,14.99
2797,DISC BEAUTY DREAMING 500 PZ,,Pierre Belvedere,146162,15.99
2798,DISC ANGELIC VISION 572 PC PZ,,Pierre Belvedere,151967,18.99
2799,BATHTIME DUCK DSP,019287892178,Pierre Belvedere,892178,4.99
2800,SHRINKY DINKS DELUXE,,Faber Castell,1869,27.99
2801,AUTUMN IN CLAY TRIMMER disc,,Creative Teaching Press,CTP1818,4.99
2802,CLOCKS CUT-OUTS,,Creative Teaching Press,CTP6234,5.99
2803,AD PAC REFILLS,059495000101,,2001003,0.99
2804,10 THOU. DICE,,KOPLOW GAMES,13272,0.65
2805,100 THOU. DICE,,KOPLOW GAMES,13273,0.65
