"POS Item Number","POS Item Name","POS UPC","Mfg Name","Mfg Item Number","Regular Price"
"1165","Yummy Yucky","9780763619503","Random House","","6.99"
"1143","No No Yes Yes","9780763632441","Random House","","6.99"
"1240","Where's Waldo","9780763634988","Random House","","7.99"
"1239","Where's Waldo Fantasic Journey","9780763635008","Random House","","7.99"
"1238","Where's Waldo Wonder Book","9780763635022","Random House","","7.99"
"1125","Hooray for Fish","9780763639181","Random House","","8.99"
"2508","Guess How Much I Love You","9780763642648","Random House","","7.99"
"1232","Where's Waldo Incredible Paper","9780763647254","Random House","","7.99"
"1237","Where's Waldo Santa Spectacular","9780763661595","Random House","","6.99"
"870","Babies First Bible","9780794419424","","","14.99"
"3498","The Book With No Pictures","9780803741713","Penguin Books","","17.99"
"3497","Mad Libs","9780843100556","Penguin Books","","3.99"
"3506","Sleepover Mad Libs","9780843126990","Penguin Books","","3.99"
"3504","Star Wars Mad Libs","9780843132717","Penguin Books","","3.99"
"3507","Totally Pink Mad Libs","9780843198980","Penguin Books","","3.99"
"855","Bear Snores On","9781416902720","","","7.99"
"2987","A Sister More Like Me","9781423170143","Hachette Book Group","","15.99"
"2988","Frozen Read-A-Long","9781423170648","Hachette Book Group","","6.99"
"3353","Olaf an Amazing Snowman","9781423185147","Hachette Book Group","","16.99"
"3352","Royal Sisters Magnetic Play Set","9781423187776","Hachette Book Group","","14.99"
"3559","Merry Christmas Foil It","9781441313744","Peter Pauper","","14.99"
"3561","Enchanted Forest Foil It","9781441313799","Peter Pauper","","14.99"
"3560","Dinosaur Foil It","9781441313829","Peter Pauper","","14.99"
"3266","Frozen Sing-Along","9781484720356","Hachette Book Group","","17.99"
"2526","Hat Trick Count","9781585361632","Cherry Lake Publishing","","16.95"
"2196","Little Minnesota","9781585361748","Carpatina","","9.949999999999999"
"2523","Little Soccer","9781585361977","Cherry Lake Publishing","","7.95"
"2521","Little Baseball","9781585365470","Cherry Lake Publishing","","7.95"
"2194","Little Hockey","9781585367122","Cherry Lake Publishing","","7.95"
"2525","He's Been a Monster All Day","9781585368273","Cherry Lake Publishing","","14.99"
"2193","Grandma Loves You","9781585368365","Cherry Lake Publishing","","14.99"
"2522","Little Dance","9781585368846","Cherry Lake Publishing","","8.99"
"2524","H is for Hockey","9781585368914","Cherry Lake Publishing","","7.99"
"3558","The Night Before Christmas Shad","9781593599423","Peter Pauper","","12.99"
"910","Kid's Travel Fun Book","9781892147134","","","7.95"
"1399","Silly Putty","10085761001043","Toysmith","","1.99"
"859","Moo, Ba, La la la","39781442454101","","","7.99"
"1154","Seven Little Postmen","69780307960375","Random House","","3.99"
"1219","The Tooth Book","69780375810398","Random House","","8.99"
"1203","Hug","69780763615765","Random House","","6.99"
"3195","Blue Sleeping Bag","","Sophia's","888798003775","22.99"
"3194","Pink Sleeping Bag","","Sophia's","888798003782","22.99"
"1489","Hot Pink/Black Bikini","","Sophia's","DRBHD-BK","16.99"
"1487","Hot Pink Sweatshirt and Shorts","","Sophia's","DRBSS-HP","19.99"
"1282","Gray Wool w/accessories","","Sophia's","DRCHS-GY","24.99"
"534","Pink/Navy Cheer Outfit","","Sophia's","DRCO-PK","23.49"
"1712","Pink Bling/Jeans","","Sophia's","DRDDJ-PK","19.99"
"895","Gymnastics Outfit w/bag","","Sophia's","DRGLJ-AQ","24"
"1260","Floral Nightie","","Sophia's","DRNGP-PR","18.99"
"533","Purple Soccer Flash","","Sophia's","DRSO-PU","24.99"
"97","Black Mary Janes","","Sophia's","","5.25"
"536","Pink Fur Denim outfit","","Sophia's","","19.99"
"537","Purple Sunglasses","","Sophia's","","4.99"
"538","Pink Fur Boots","","Sophia's","","6.99"
"539","Leather pink stripe shoes","","Sophia's","","7.49"
"550","Clip on Chair","","Sophia's","","35.99"
"872","Pink Locker","","Sophia's","","44.99"
"873","Hot Pink PJ's for 18"" Doll","","Sophia's","","14.99"
"875","Pink Fur Earmuff 18"" Doll","","Sophia's","","5.99"
"876","Pink UGGs 18"" Doll","","Sophia's","","6.99"
"897","pink flower panties","","Sophia's","","3.95"
"1028","Pink Furry Robe","","Sophia's","","11.99"
"1029","Snowflake Snowboard outfit","","Sophia's","","18.99"
"1030","Karate outfit","","Sophia's","","22.99"
"1031","3 Piece Ballet outfit","","Sophia's","","15.99"
"1032","Heart PJ's w/slippers/robe","","Sophia's","","24.99"
"1033","Lavender Leo","","Sophia's","","13.99"
"1034","Red Coat w/mittens","","Sophia's","","17.99"
"1035","Lavender PJ's w/slippers","","Sophia's","","14.99"
"1036","Lavender Furry Robe","","Sophia's","","11.99"
"1038","Pink Glitter Sneakers","","Sophia's","","6.19"
"1064","Brown Button UGGS","","Sophia's","","7.99"
"1072","White Fur Vest/Hat","","Sophia's","","18.99"
"1262","Pink Jeans","","Sophia's","","9.99"
"1263","Distressed Jeans","","Sophia's","","10.5"
"1264","Black T-neck","","Sophia's","","8.75"
"1265","Zebra skirt/Pearl Top","","Sophia's","","16.99"
"1266","Black Tights","","Sophia's","","3.1"
"1267","White Tights","","Sophia's","","3.1"
"1269","Pink glitter Brush","","Sophia's","","3.7"
"1271","Light Pink Glitter Shoes","","Sophia's","","6.4"
"1274","Purple Glitter Sneakers","","Sophia's","","6.19"
"1275","Dark Pink Glitter Sneakers","","Sophia's","","6.19"
"1276","Animal Print Shoes","","Sophia's","","6.39"
"1277","Red Tights","","Sophia's","","3.1"
"1278","Ivory Tights","","Sophia's","","3.1"
"1285","Lime/Blue Love Yoga","","Sophia's","","13.99"
"1288","Pink Crocs","","Sophia's","","5"
"1289","Pink Suede Boots w/buckle","","Sophia's","","6.5"
"1291","Mini Scooter","","Sophia's","","24.99"
"1297","Love Denim skirt outfit","","Sophia's","","16.99"
"1299","White Turtleneck","","Sophia's","","8.75"
"1300","White Sunglasses","","Sophia's","","5"
"1310","Apricot Corduroy Dress BB","","Sophia's","","14.99"
"1313","Golf Outfit","","Sophia's","","13.99"
"1318","Flower Dress Rack w/3 hangers","","Sophia's","","45.99"
"1322","Red Mary Janes","","Sophia's","","5.25"
"1323","Silver Glitter Sneakers","","Sophia's","","6.19"
"1324","Doll Horse","","Sophia's","","84.98999999999999"
"1325","Peace sign T/ Sport Shorts","","Sophia's","","17.99"
"1326","Vanity","","Sophia's","","57.99"
"1327","Wardrobe","","Sophia's","","69.98999999999999"
"1337","Pink Sunglasses","","Sophia's","","5"
"1491","Black Sandals","","Sophia's","","6.5"
"1545","Soccer Cleats","","Sophia's","","6.99"
"1546","Aqua Crocs","","Sophia's","","4.99"
"1547","Black Sunglasses","","Sophia's","","5"
"1552","Blue Scrubs","","Wholesale Doll Clothes","","12.99"
"1553","Days of the Week Underwear","","Wholesale Doll Clothes","","26.99"
"1566","Pink Polka Dot Outfit","","Wholesale Doll Clothes","","18.99"
"1716","Zebra Print Robe and Slippers","","Sophia's","","15.99"
"1719","Black Glitter Leggings","","Sophia's","","4.99"
"1844","Dark Brown UGGS","","Sophia's","","6.99"
"1846","Pink Peep Toe Shoes","","Sophia's","","7.99"
"1849","Leopard Print and Black Dress","","American Fashion World","","14.25"
"1854","Fringe Cowboy Boots White","","American Fashion World","","6.99"
"1855","Fringe Cowboy Boots Black","","American Fashion World","","6.99"
"1863","Jeep","","Sophia's","","74.98999999999999"
"1913","Purple/Black Mesh Dress & Jacke","","American Fashion World","","16.99"
"1914","Pink Cap for 18"" doll","","American Fashion World","","3.99"
"1917","White Fur Tap Dancing Outfit","","Wholesale Doll Clothes","","19.99"
"1918","Pink Fringe Cowboy Boots WSD","","Wholesale Doll Clothes","","7.99"
"1920","White Tap Shoes","","Wholesale Doll Clothes","","10.5"
"1930","Purple Crocs","","Sophia's","","5"
"1931","Dark Teal Crocs","","Sophia's","","5"
"1934","Gold/Diamond Sandals","","Sophia's","","6.79"
"1937","Pink Strappy Sandals","","Sophia's","","5.6"
"1938","Teal Sneakers","","Sophia's","","6"
"1939","Pink Rose Shoes","","Sophia's","","6.4"
"1940","Navy Rose Shoes","","Sophia's","","6.4"
"1942","Fuschia Shoes","","Sophia's","","5.6"
"1943","Gold Glitter Shoes","","Sophia's","","6.4"
"1944","Purple Glitter Shoes","","Sophia's","","6.4"
"1945","Yellow Crocs","","Sophia's","","5"
"1987","White Glitter Prom Dress","","Dream Big Wholesale Doll Clothes","","24.99"
"1992","Peace T and Jeans","","American Fashion World","","13.99"
"2002","Pink Tights","","Sophia's","","3.1"
"2003","Navy Knee Highs","","Sophia's","","2.25"
"2004","White Knee Highs","","Sophia's","","2.25"
"2005","White Mary Janes","","Sophia's","","5.25"
"2029","Live Your Dreams Outfit","","Sophia's","","19.99"
"2031","Pink Gymnastics Outfit w/Bag","","Sophia's","","24"
"2032","Black Satin Polka Dot PJ's","","Sophia's","","24.99"
"2046","Hot Pink Soccer Outfit","","Sophia's","","24.99"
"2059","Teal Heart Dress","","American Fashion World","","11.99"
"2060","Purple Sequin Cap for Doll","","American Fashion World","","5.99"
"2103","Red Cowboy hat","","Wholesale Doll Clothes","","9.99"
"2105","Plush Puppy for doll","","Sophia's","","29.99"
"2107","Blue/Gold Cheer outfit","","Sophia's","","24.99"
"2108","Black Pea Coat Striped scarf","","Sophia's","","24.99"
"2109","Fuschia Jacket /hat Sherpa","","Sophia's","","19.99"
"2112","Pink Crocs with Fur","","Sophia's","","5.99"
"2119","Metallic PInk Bow Shoes","","Sophia's","","5.49"
"2120","Metallic Purple Bow Shoes","","Sophia's","","5.49"
"2121","Purple Crocs w/Fur","","Sophia's","","5.99"
"2123","Sunglasses with flower print ca","","Sophia's","","6.99"
"2125","Hot Pink Animal Flats w/black t","","Sophia's","","5.99"
"2126","Hot Pink Sequin Uggs","","Sophia's","","7.49"
"2127","Pink Seqin Uggs","","Sophia's","","7.49"
"2128","Silver Sequin Uggs","","Sophia's","","7.49"
"2129","Purple Sequin Uggs","","Sophia's","","7.49"
"2130","Leopard Robe with Slippers","","Sophia's","","19.99"
"2131","Ivory Satin Dress","","Sophia's","","16.99"
"2132","Doll Bed","","Sophia's","","54.99"
"2161","Hot Pink Crocs","","Sophia's","","5"
"2162","Green Crocs","","Sophia's","","5"
"2164","Purple Sequin Jacket","","American Fashion World","","9.99"
"2167","Teal Cowboy Boots","","Sophia's","","7.99"
"2168","Fuschia Sherpa Boots","","Sophia's","","6.99"
"2220","Blonde Doll undressed","","Sophia's","","59.99"
"2221","Brunette Doll Undressed","","Sophia's","","59.99"
"2222","Auburn Doll undressed","","Sophia's","","59.99"
"2223","Dark Hair Doll Undressed","","Sophia's","","59.99"
"2226","Leopard Leggings","","Sophia's","","5.99"
"2257","Leopard Print Pajama's","","Sophia's","","15.99"
"2258","Red Patent Bow Shoes","","Sophia's","","5.99"
"2259","Red Sweater Dress with Leopard","","Sophia's","","23.99"
"2266","Tall Boot  Black","","Sophia's","","6.99"
"2267","Leopard Vest","","Sophia's","","12.99"
"2272","Hello Kitty PJ's","","Wholesale Doll Clothes","","17.99"
"2284","Doll Birthday Cake","","Sophia's","","9.99"
"2285","Doll Day Bed","","Sophia's","","49.5"
"2286","Rolling Rack","","Sophia's","","38.99"
"2295","Just Dance Sweats","","Sophia's","","19.99"
"2296","Snowflake Jacket and Hat","","Sophia's","","19.99"
"2297","Wheel Chair Set","","Sophia's","","45.99"
"2298","Polar Bear Hats","","Sophia's","","9.99"
"2300","Purple Canvas Sneakers","","Sophia's","","5.99"
"2301","10 Pack Hangers","","Sophia's","","4.5"
"2312","Leoaprd Vest Leather Skirt","","Sophia's","","23.99"
"2314","Hair Brush","","Sophia's","","4.99"
"2316","Hot Pink Top/Multi Colored Legg","","American Fashion World","","10.99"
"2317","Hot Pink&Black Ruffle Pant Set","","American Fashion World","","15.99"
"2320","Salon Chair for Doll","","Sophia's","","41.99"
"2327","Pink Glasses w/case","","Sophia's","","6.99"
"2329","Zebra Print Glitter Dress","","American Fashion World","","14.25"
"2330","Pink Polka Dot Cowgirl Outfit","","American Fashion World","","14.99"
"2332","Future Cowgirl","","American Fashion World","","14.99"
"2336","White Eyelet Bedding","","Sophia's","","22.99"
"2337","Ice Angel Ice Skating Outfit","","American Fashion World","","19.99"
"2338","Pink Ballet TuTu Set","","American Fashion World","","15.99"
"2347","Black/Pink Sequin Dance Outfit","","American Fashion World","","13.99"
"2349","Lace Up Ballet Shoes - White","","American Fashion World","","4.99"
"2359","Silver Sequin Skirt/White Top","","Sophia's","","15.99"
"2360","Pink Skirt/Zebra Top","","Sophia's","","15.99"
"2365","Ruffle Denim Skirt","","Sophia's","","11.99"
"2371","Floral Snowsuit","","Sophia's","","26.99"
"2374","Black Glasses","","Sophia's","","4.99"
"2446","Lavender Cowboy Boots","","American Fashion World","","7.99"
"2455","Camping Tent","","Laurent Doll","","36.99"
"2611","White Eyelet Dress w/Pink Jacke","","Sophia's","","23.99"
"2612","Light Pink Flower Sandals","","Sophia's","","6.99"
"2648","Navy Dress, Coat and Hat","","American Fashion World","","13.99"
"2655","Navy Tights","","","","3.1"
"2846","Floral Top/Pink Jeans","","Sophia's","","49.99"
"2847","Mermaid Outfit","","Sophia's","","17.99"
"2848","Snow White Outfit","","Sophia's","","25.99"
"2866","Sleeping Beauty Dress","","American Fashion World","","19.99"
"2903","Dorothy Dress","","American Fashion World","","15.99"
"2905","Tinkerbell Dress","","American Fashion World","","15.99"
"2925","Leopard Print Bikini","","Sophia's","","13.99"
"2957","Purple Tankini","","Sophia's","","19.99"
"2959","Lime Shorts/Bra/Pink Tank","","Sophia's","","23.99"
"2960","Floral Dress w/ Denim Jacket","","Sophia's","","23.99"
"2962","Rapunzel Dress","","American Fashion World","","23.99"
"2963","4 Piece Cowgirl Outfit","","American Fashion World","","21.99"
"2986","Floral Dress w/ Sunglasses","","Sophia's","","18.99"
"3058","Belle Dress","","Wholesale Doll Clothes","","23.99"
"3059","Pink Bling Backpack for Dolls","","Wholesale Doll Clothes","","8.99"
"3060","Turquoise and Black Dance Outfi","","Wholesale Doll Clothes","","18.99"
"3062","Hello Kitty Blue PJ's","","Wholesale Doll Clothes","","12.99"
"3066","Hot Pink Sequin Bodice Dress","","Sophia's","","18.99"
"3067","Little Red Riding Hood","","American Fashion World","","18.99"
"3070","AFW Anna w/Cape","","American Fashion World","","21.99"
"3071","AFW Elsa","","American Fashion World","","20.99"
"3127","Blue Cape/Bag","","Sophia's","","21.99"
"3128","Pink Cape/Bag","","Sophia's","","21.99"
"3187","Ivory Ruffle Blouse & Jeggings","","Sophia's","","19.99"
"3196","Irish Cable Knit Sweater","","Sophia's","","15.99"
"3198","Kitty Boo Costume","","American Fashion World","","15.99"
"3199","Supergirl Costume","","American Fashion World","","15.99"
"3208","Doll TuTu's multi","","LouAnn","","4.99"
"3232","Orange Glitter Shoes","","American Fashion World","","5.99"
"3237","Blue Fleece Jacket/Skirt  Set","","American Fashion World","","12.99"
"3242","Teal Shoes w/ bow","","Sophia's","","5.99"
"3244","White Leggings","","Sophia's","","3.99"
"3322","Birthday Party Brictek","","Bric Tek","","13.99"
"3326","Black Sequin Dress","","Sophia's","","15.99"
"3327","Pink Sequin Dress w/Bag","","Sophia's","","16.99"
"3328","Orange Puffy Jacket","","Sophia's","","15.99"
"3335","Doll Cradle","","Sophia's","","55.99"
"3374","Jasmine Costume","","Wholesale Doll Clothes","","19.99"
"3375","Heart Nightie","","Wholesale Doll Clothes","","15.99"
"3376","Bunny Slippers WDC","","Wholesale Doll Clothes","","7.49"
"3418","Apron Mitts and Hat","","Sophia's","","14.99"
