POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price
642,MOMS AND BABIES PUZZLES,17036006,Trend Enterprises,T36006,12.99
643,WHAT COMES NEXT PUZZLE,17036016,Trend Enterprises,T36016,12.99
644,disc APPLES SHINE FOIL BRIGHT,17037008,Trend Enterprises,T37008,2.99
645,OPPOSITES CHART disc,17038027,Trend Enterprises,T38027,2.99
646,CONTINENT  ANTARTICA CHART dis,17038139,Trend Enterprises,T38139,2.99
647,EXPLORING FISH,17038183,Trend Enterprises,T38183,2.99
648,MULTICOLOR WIPE-OFF SENTENCE S,1704002,Trend Enterprises,T4002,9.99
649,WHITE WIPE-OFF PHRASE STRIPS,1704010,Trend Enterprises,T4010,5.99
650,MULTICOLOR WIPE-OFF PHRASE,1704011,Trend Enterprises,T4011,5.99
651,NUMBERS SUPERSHAPES STICKERS,17046036,Trend Enterprises,T46036,2.99
652,PROUD PUMPKINS SUPER SHAPE STI,17046071,Trend Enterprises,T46071,2.99
653,RED HEARTS SUPERSHAPES STICKER,17046072,Trend Enterprises,T46072,2.99
654,MONKEY ANTICS SUPERSPOT STICKE,17046302,Trend Enterprises,T46302,2.99
655,FROG FRENZY SUPERSPOT STICKERS,17046303,Trend Enterprises,T46303,2.99
656,disc VALENTINE HEARTS,17046313,Trend Enterprises,T46313,2.99
657,SEASONAL SUPERSPOTS VARIETY PA,17046914,Trend Enterprises,T46914,9.99
658,I LOST A TOOTH LARGE APPLAUSE,17047313,Trend Enterprises,T47313,2.99
659,PRIMARY FAVOURITES APPLAUSE VA,17047909,Trend Enterprises,T47909,17.99
660,SPARKLY STARS HEARTS & SMILES,1705005,Trend Enterprises,T5005,6.99
661,BUGS & BLOOMS STICKER PAD,1705013,Trend Enterprises,T5013,5.99
662,disc MAS PALABRA E IMAGENES,17053007,Trend Enterprises,T53007,9.99
663,SIGHT WORDS LEVEL 3 FLASH CARD,17053019,Trend Enterprises,T53019,9.99
664,SPANISH ACTION WORDS FLASHCARD,17053020,Trend Enterprises,T53020,9.99
665,DIVISION FLASH CARDS 0-12,0,Trend Enterprises,T53106,9.99
666,TELLING TIME FLASH CARDS,17053108,Trend Enterprises,T53108,9.99
667,CHART BAGS,17059449,Trend Enterprises,M59449,0
668,SIGHT WORDS BINGO,1706064,Trend Enterprises,T6064,12.99
669,FROG FUN SPARKLE STICKERS,17063027,Trend Enterprises,T63027,2.5
670,MERRY MUSIC SPARKLE STICKERS,078628630404,Trend Enterprises,T63040,2.99
671,STAR SPORTS SPARKLE STICKERS,078628630428,Trend Enterprises,T63042,2.99
672,TERRIFIC TRUCKS SPARKLE STICKE,078628630435,Trend Enterprises,T63043,2.99
