POS Item Number,POS Item Name,POS UPC,Mfg Name,Mfg Item Number,Regular Price,,,,,,
338,Ivy & Bean 10:Take the Case,9.78145E+12,Hachette Book Group - Chronicle Books,9.78145E+12,5.99,,,,,,
340,Bear's Sea Escape,9.78145E+12,Hachette Book Group - Chronicle Books,9.78145E+12,17.99,,,,,,
345,Bear on Bicycle Pastels,6.89197E+11,eeBoo,PASBIK,8.99,,,,,,
349,Frozen Ultimate Sticker Book,9.78147E+12,Penguin Group,9.78147E+12,6.99,,,,,,
353,Star Wars The Dark Side,9.78147E+12,Penguin Group,9.78147E+12,16.99,,,,,,
361,Baby Night-Night,9.78076E+12,Artisan/Workman Publishing,9.78076E+12,5.95,,,,,,
366,Bunny Ring Rattle,,Apple Park,TM287,17.99,,,,,,
369,Baby Peekaboo,9.78076E+12,Artisan/Workman Publishing,9.78076E+12,5.95,,,,,,
377,Classic Bedtime Stories,9.78087E+12,Artisan/Workman Publishing,9.78087E+12,19.95,,,,,,
378,"Big Magic, Little Hands",9.78076E+12,Artisan/Workman Publishing,9.78076E+12,19.95,,,,,,
379,Bunny Mint Medium,,"Jellycat, Inc.",BAS3BM,19.99,,,,,,
380,Meerkat Mail,9.78142E+12,Simon & Schuster,9.78142E+12,17.99,,,,,,
385,Little Mermaid,9.78142E+12,Simon & Schuster,9.78142E+12,29.99,,,,,,
386,Locomotive,9.78142E+12,Simon & Schuster,9.78142E+12,17.99,,,,,,
393,Mousetronaut,9.78144E+12,Simon & Schuster,9.78144E+12,17.99,,,,,,
400,Rudolph the Red-Nosed Reindeer,9.78144E+12,Simon & Schuster,9.78144E+12,17.99,,,,,,
407,"Peter Rabbit, The Classic Tale",9.7816E+12,Simon & Schuster,9.7816E+12,8.95,,,,,,
430,Consider Love,9.78144E+12,Simon & Schuster,9.78144E+12,14.99,,,,,,
448,Bug Makes a Splash!,9.78098E+12,Plushy Feely Corp,9.78098E+12,14.95,,,,,,
449,In The Woods Advent Calendar,9.78074E+12,Ingram Publishing,9.78074E+12,8.99,,,,,,
450,Cloud's Best Worst Day Ever,9.78098E+12,Plushy Feely Corp,9.78098E+12,14.95,,,,,,
452,Guinness Book Of World Records,9.78191E+12,Macmillan,9.78191E+12,28.95,,,,,,
453,Classic 1905 Teddy Bear,,"Steiff North America, Inc.",4834,199.99,,,,,,
455,Koko Chimpanzee,,"Steiff North America, Inc.",60380,26.99,,,,,,
457,Classic Teddy Bear,,"Steiff North America, Inc.",27321,209.99,,,,,,
459,Sugar Teddy Bear,,"Steiff North America, Inc.",27017,249.99,,,,,,
463,Growling Bear,,"Steiff North America, Inc.",11719,179.99,,,,,,
466,Molly Teddy Bear,,"Steiff North America, Inc.",19272,49.99,,,,,,
469,Elmar Teddy Bear,,"Steiff North America, Inc.",22456,69.99,,,,,,
470,Snobby Dangling Fox,,"Steiff North America, Inc.",70174,99.99,,,,,,
471,Niki Squirrel,,"Steiff North America, Inc.",45141,79.99,,,,,,
482,Joggi Hedgehog Standing,,"Steiff North America, Inc.",70563,39.99,,,,,,
483,Koko Chimpanzee,,"Steiff North America, Inc.",64722,39.99,,,,,,
484,Kango Kangaroo w/Joey,,"Steiff North America, Inc.",64623,129.99,,,,,,
485,Leo Dangling Lion,,"Steiff North America, Inc.",65668,129.99,,,,,,
511,Break Your Own Geodes,7.34897E+11,Geo Central,BYOG,12.99,,,,,,
512,Dino Egg w/Creature,7.34897E+11,Geo Central,DNDNE,7.99,,,,,,
520,Radjah Baby Dangling Tiger,,"Steiff North America, Inc.",66269,99.99,,,,,,
538,Leo Lion,,"Steiff North America, Inc.",280092,39.99,,,,,,
545,Trampili Elephant Pull Along,,"Steiff North America, Inc.",238246,39.99,,,,,,
548,Piglet Money Bank,,Streamline Inc.,BNK125,16.99,,,,,,
554,Smart Phone Projector 2.0,,,USLUKPRO2,39.99,,,,,,
557,Imperial Star Destroyer,,"Fascinations Toys & Gifts, Inc.",MMS254,11.99,,,,,,
559,Destroyer Droid,,"Fascinations Toys & Gifts, Inc.",MMS255,11.99,,,,,,
561,TIE Fighter,,"Fascinations Toys & Gifts, Inc.",MMS256,11.99,,,,,,
564,X-Wing Star Fighter,,"Fascinations Toys & Gifts, Inc.",MMS257,11.99,,,,,,
569,Hand Boiler,8.15895E+11,Warm Fuzzy Toys,T-91,5.99,,,,,,
575,Plasma Ball Electric Dome,8.15895E+11,Warm Fuzzy Toys,T-610,16.99,,,,,,
577,Newton's Cradle,8.15895E+11,Warm Fuzzy Toys,T-97NC1,9.99,,,,,,
582,LCR (Left Center Right) Game,,R&M Distributors,6779,7.99,,,,,,
584,Flower Crowns,92633302200,Faber Castell,1130,15.99,,,,,,
585,Medea the Witch,95866705602,Safari Limited,705604,7.99,,,,,,
596,Nail Art,9.78159E+12,Klutz,1570541116,21.95,,,,,,
599,20 Questions Deluxe,8.01561E+11,John N. Hansen Co. Inc.,1095,24.99,,,,,,
600,Panda Felted Animal Kit,,Wool Pets,1014,19.99,,,,,,
606,Fawn Felted Animal Kit,,Wool Pets,1037,19.99,,,,,,
608,Kangaroo Felted Animal Kit,,Wool Pets,1017,19.99,,,,,,
613,Babbs Bear,,Gund,4044009,29.99,,,,,,
615,"16"" Charm Necklace & Ring Kit",,Sugar Lulu,16N/R,14.99,,,,,,
616,Charm Bracelet & Ring Kit,,Sugar Lulu,ChBr,24.99,,,,,,
617,Ring Kit,,Sugar Lulu,Ring,9.99,,,,,,
629,Princess Foil Art,772094467,Melissa & Doug,9446,6.99,,,,,,
631,Animals Foil Art,772094214,Melissa & Doug,9421,6.99,,,,,,
634,Mermaids Sequin Art,772094375,Melissa & Doug,9437,6.99,,,,,,
639,Origami Animals,772094429,Melissa & Doug,9442,6.99,,,,,,
662,No Potty Yes Potty,9.7814E+12,Sterling Publishing Co,9.7814E+12,5.95,,,,,,
678,Clay Creations,772094405,Melissa & Doug,9440,6.99,,,,,,
681,Light Signal,7.31235E+12,"Schylling Associates, Inc.",B33743,11.99,,,,,,
682,Dynamite Tunnel,7.31235E+12,"Schylling Associates, Inc.",B33352,29.99,,,,,,
683,Battery Powered Engine,7.31235E+12,"Schylling Associates, Inc.",B33595,19.99,,,,,,
687,Safari Train,7.31235E+12,"Schylling Associates, Inc.",B33722,24.99,,,,,,
689,Airplane,7.31235E+12,"Schylling Associates, Inc.",B33306,29.99,,,,,,
702,DC Lamborghini Veneno,19649232161,"Schylling Associates, Inc.",DCLV,7.99,,,,,,
719,DC Food Truck,19649227167,"Schylling Associates, Inc.",DCFTA,7.99,,,,,,
726,Play Ball! Valentines,6.43356E+11,Peacable Kingdom Press,VPS39,12.99,,,,,,
728,Parachute Sky Diver,7.29747E+11,Castle Toy,2006,9.99,,,,,,
730,Scratch & Sniff Valentines,6.43356E+11,Peacable Kingdom Press,VPS45,12.99,,,,,,
733,Fairy Valentines Heart Pack,6.43356E+11,Peacable Kingdom Press,VHP22,6.99,,,,,,
734,3 in 1 All-Terrain Robot,,"Elenco Electronics, Inc.",OWI-536,69.99,,,,,,
735,Dinosaur Valentines Heart Pack,6.43356E+11,Peacable Kingdom Press,VHP18,6.99,,,,,,
736,Rainbow Lava Lamp,47162021405,"Schylling Associates, Inc.",LL14R,24.99,,,,,,
755,Valentine Airplanes,6.43356E+11,Peacable Kingdom Press,VPS24,12.99,,,,,,
756,Butterfly Tattoo Valentines,6.43356E+11,Peacable Kingdom Press,VPS41,12.99,,,,,,
757,Bugs! Tattoo Valentines,6.43356E+11,Peacable Kingdom Press,VPS40,12.99,,,,,,
785,Treat Box Valentines,6.43356E+11,Peacable Kingdom Press,VPS23,12.99,,,,,,
